	GSM2345472	GSM2345460	GSM2345464	GSM2345473	GSM2345470	GSM2345461	GSM2345466	GSM2345463	GSM2345469	GSM2345471	GSM2345462	GSM2345465	GSM2345468	GSM2345467	GSM2345459
Tmc4	1497	1231	838	737	842	784	1068	1169	1232	614	489	1058	1276	889	998
Tmc4-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmc5	7	25	7	3	2	8	10	87	106	6	15	16	116	1	9
Tmc6	359	234	313	141	264	237	360	263	284	93	220	303	369	296	256
Tmc7	39	86	135	22	28	83	177	139	124	26	36	136	118	42	80
Tmc8	2	15	9	1	3	9	21	25	7	0	15	8	12	3	13
Tmcc1	224	462	225	175	110	274	360	290	331	147	202	386	224	129	373
Tmcc2	594	509	251	298	320	246	371	246	512	230	304	308	514	319	470
Tmcc3	396	770	899	384	235	827	1260	1023	750	293	514	1451	443	210	895
Tmco1	1155	678	744	518	528	486	813	485	909	484	373	838	799	526	686
Tmco2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Tmco3	1284	737	1055	619	611	663	1179	541	1149	495	464	1201	1087	609	694
Tmco4	58	44	43	26	59	47	44	61	76	33	96	49	76	42	43
Tmco5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmco5b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmco6	250	171	166	87	173	110	168	127	199	88	118	139	241	185	132
Tmed1	220	136	172	68	196	115	132	109	134	50	82	130	235	202	158
Tmed10	6217	4792	6406	3015	3216	4144	6512	4492	5460	2376	2205	6403	5579	3335	5109
Tmed11	1	0	2	1	8	26	0	4	93	17	0	5	48	25	0
Tmed2	8033	6747	9448	3831	3530	5239	9132	4744	7101	2832	2912	8702	7011	3847	7230
Tmed3	7650	4059	5538	2489	4805	2310	4557	2189	3705	2067	1297	4129	5495	4784	4458
Tmed4	3269	1797	2374	1332	2017	1740	2350	2015	2417	1003	1138	2142	2973	1949	2012
Tmed5	87	482	128	182	46	270	434	421	205	161	234	452	55	68	390
