	GSM2517014	GSM2517015	GSM2517016	GSM2517017	GSM2517018	GSM2517019	GSM2517020	GSM2517021	GSM2517022	GSM2517023	GSM2517024	GSM2517025
Fuom	185	155	87	75	332	324	312	372	237	390	256	209
Furin	732	1606	1239	668	771	574	763	1340	805	1010	757	1193
Fus	2154	2641	2279	1240	1833	3631	2605	3102	1430	3187	2201	2680
Fut1	9	9	5	2	1	3	4	14	14	3	3	29
Fut10	81	38	46	30	100	67	78	94	72	80	48	92
Fut11	119	123	104	56	301	157	159	211	142	171	105	146
Fut2	34	7	5	5	10	7	2	4	10	1	2	5
Fut4	26	65	38	32	55	60	60	90	54	57	61	57
Fut4-ps1	1	1	1	0	0	5	4	0	0	1	2	0
Fut7	1	3	0	1	8	0	4	4	1	2	2	0
Fut8	247	119	122	52	363	266	249	316	237	253	194	297
Fut9	0	0	0	0	0	1	0	0	0	0	0	0
Fuz	291	279	252	130	170	714	396	549	155	441	383	417
Fv1	13	1	4	0	13	15	8	13	22	14	7	19
Fxn	64	65	36	23	49	65	42	98	42	60	60	62
Fxr1	938	1134	826	525	1264	929	831	941	706	879	626	741
Fxr2	768	889	786	412	479	700	701	1290	651	953	656	878
Fxyd1	18	34	6	8	961	121	199	117	114	59	67	57
Fxyd2	5	4	8	2	157	28	48	11	15	21	17	13
Fxyd3	179	96	37	47	33	58	54	158	13	84	59	100
Fxyd4	3	0	0	2	0	4	0	1	0	0	1	1
Fxyd5	59	166	130	83	1567	396	284	309	327	192	148	222
Fxyd6	1046	1397	887	531	964	1097	1175	1867	1324	1729	1278	1612
Fxyd7	4	12	8	5	4	3	0	7	2	3	0	1
Fyb	43	44	33	10	577	395	123	114	191	97	92	94
Fyb2	7	18	18	9	4	19	3	11	4	15	10	6
Fyco1	721	253	333	161	971	788	664	556	681	640	535	516
Fyn	143	503	430	269	724	469	289	274	245	226	170	319
Fyttd1	728	876	688	433	705	853	564	581	442	716	465	579
Fzd1	37	47	41	14	264	53	57	141	47	49	33	98
Fzd10	0	0	0	1	7	0	3	2	1	2	2	0
Fzd10os	1	0	3	0	12	1	2	2	0	0	0	1
Fzd2	9	0	1	1	91	17	28	38	25	16	6	41
Fzd3	418	302	271	135	182	411	346	415	498	516	291	345
Fzd4	164	213	222	123	3102	429	891	328	403	224	312	332
Fzd5	151	156	126	61	132	36	51	63	57	52	46	55
Fzd6	149	396	391	211	191	277	273	285	209	271	226	252
Fzd7	40	97	105	46	170	74	94	145	94	122	73	131
Fzd8	74	101	99	42	102	49	112	136	109	102	85	134
Fzd9	1	2	2	2	0	0	3	0	0	0	1	0
Fzr1	259	392	310	180	320	285	256	408	252	330	260	369
G0s2	6	6	2	3	2304	122	733	99	197	57	168	61
G2e3	358	197	215	101	177	458	223	202	182	294	183	162
G3bp1	922	839	777	410	1072	1064	854	1250	997	1033	764	961
G3bp2	1831	961	844	500	2313	1640	1668	1768	1531	1898	1319	1444
G430095P16Rik	0	0	0	0	13	6	7	5	4	0	2	3
G530011O06Rik	7	11	6	0	47	5	9	5	7	7	14	9
G530012D18Rik	2	0	0	0	0	0	0	0	0	0	0	0
G630016G05Rik	10	15	13	12	7	37	26	48	14	33	34	32
G630018N14Rik	1	0	0	0	0	0	0	0	0	0	0	0
