gene_symbol	GSM3526024	GSM3526021	GSM3526026	GSM3526022	GSM3526025	GSM3526027	GSM3526020	GSM3526023
ACTL10	7.07421875	7.1171875	7.05078125	7.3984375	7.4140625	7.2890625	7.76171875	7.23828125
ACTL6A	9.9375	9.9453125	10.1171875	9.7734375	9.9765625	9.7421875	9.8359375	9.9453125
ACTL6B	5.1171875	5.1171875	5.205078125	5.365234375	5.287109375	5.23046875	5.396484375	5.107421875
ACTL7A	5.8125	5.79296875	5.44140625	5.76953125	6.0703125	5.921875	6.15625	5.78515625
ACTL7B	5.98046875	5.86328125	5.8359375	6.203125	6.078125	6.16015625	5.9765625	6.0078125
ACTL8	7.16796875	7.21875	7.2890625	7.2109375	7.33203125	7.30078125	7.12109375	7.046875
ACTL9	5.34765625	4.56640625	5.06640625	5.44140625	4.9609375	4.84765625	5.2109375	4.6171875
ACTN1	11.2080078125	10.9970703125	11.076171875	11.494140625	11.28515625	11.2900390625	11.3291015625	10.8515625
ACTN2	4.49072265625	4.3623046875	4.41015625	4.55810546875	4.58251953125	4.45068359375	4.384765625	4.357421875
ACTN3	5.94921875	6.015625	6.19140625	6.140625	6.28515625	6.30859375	6.0390625	5.9609375
ACTN4	11.3984375	11.0390625	11.359375	11.7890625	11.4375	11.46875	11.4375	10.8984375
ACTR10	12.453125	12.5546875	12.640625	12.203125	12.3515625	12.3359375	12.375	12.5625
ACTR1A	10.22265625	9.921875	10.1328125	10.60546875	10.421875	10.3828125	10.34375	10.078125
ACTR1B	9.53125	9.359375	9.5625	9.7421875	9.3984375	9.46875	9.8046875	9.640625
ACTR2	8.064174107142858	7.899274553571429	7.9375	7.710379464285714	7.771763392857143	7.635881696428571	7.815569196428571	7.923549107142857
ACTR3	10.3953125	10.41015625	10.48359375	10.01328125	10.17734375	10.05625	10.103125	10.48046875
ACTR3B	7.25390625	7.4296875	7.515625	7.427734375	7.1640625	7.337890625	7.091796875	7.150390625
ACTR3BP2	5.315104166666667	5.2265625	5.3984375	5.5703125	5.6171875	5.592447916666667	5.328125	5.337239583333333
ACTR3C	5.29296875	5.2734375	5.90234375	5.42578125	5.359375	5.421875	5.19921875	5.52734375
ACTR5	6.361328125	6.89453125	6.462890625	6.462890625	6.27734375	6.4453125	6.494140625	6.634765625
ACTR6	7.25390625	7.48046875	7.615234375	7.08203125	7.017578125	7.359375	7.18359375	7.525390625
ACTR8	7.896484375	7.986328125	7.986328125	7.615234375	7.79296875	7.884765625	8.025390625	7.890625
ACTRT2	5.2578125	5.13671875	5.3515625	5.46875	5.40625	5.40234375	5.25390625	5.09375
ACTRT3	7.5625	7.22265625	7.48046875	7.0703125	7.2578125	7.41015625	7.1875	7.4375
ACVR1	11.0625	10.8671875	10.8984375	10.796875	10.9765625	10.7734375	10.9140625	11.1328125
ACVR1B	6.249348958333333	6.36328125	6.276041666666667	6.231770833333333	6.197265625	6.189453125	6.280598958333333	6.078125
ACVR1C	4.5400390625	4.0751953125	4.0048828125	4.2412109375	4.58984375	4.4599609375	4.384765625	4.1630859375
ACVR2A	7.712890625	7.484375	7.607421875	6.939453125	7.0078125	7.001953125	6.95703125	7.408203125
ACVR2B	5.60546875	5.65234375	5.473958333333333	5.615885416666667	5.5859375	5.649739583333333	5.651041666666667	5.428385416666667
ACVR2B-AS1	5.29296875	5.34765625	5.15625	5.20703125	5.2734375	5.15625	5.08203125	5.0625
ACVRL1	7.576171875	7.662109375	7.98046875	8.130859375	7.41796875	7.349609375	7.603515625	7.62109375
ACY1	5.515625	5.15625	5.6484375	5.63671875	5.14453125	5.66796875	5.26953125	5.25
ACY3	5.203125	4.951171875	5.072265625	5.24609375	5.1796875	5.228515625	5.197265625	5.021484375
ACYP1	8.34375	8.375	8.1171875	7.8125	7.96484375	8.2734375	7.9453125	8.6875
ADA	9.1328125	11.02734375	10.37890625	10.2890625	9.82421875	9.7890625	9.98828125	10.46875
ADAD1	4.263671875	4.265625	4.193359375	4.3212890625	4.423828125	4.251953125	4.2001953125	4.1669921875
ADAD2	6.52734375	6.5	6.5390625	6.6796875	6.6171875	6.58203125	6.703125	6.61328125
ADAL	6.361979166666667	6.893229166666667	6.328125	5.96484375	6.235677083333333	6.05859375	6.1640625	6.600260416666667
ADAM10	8.794270833333334	9.33203125	9.309895833333334	8.296875	8.33984375	8.25	8.80859375	9.5234375
ADAM11	5.931640625	5.97265625	6.001953125	6.16015625	6.2109375	6.19921875	6.033203125	5.875
ADAM12	8.33984375	9.265625	9.0140625	8.87578125	8.265625	8.35078125	9.16796875	8.953125
