gene_symbol	GSM2728750	GSM2728754	GSM2728752	GSM2728758	GSM2728756	GSM2728763	GSM2728759	GSM2728762	GSM2728764	GSM2728766	GSM2728765	GSM2728751	GSM2728753	GSM2728757	GSM2728761	GSM2728760	GSM2728755
1500005C15Rik	57.46875	18.9453125	70.0390625	27.9609375	37.0703125	38.265625	57.8125	38.15625	44.3828125	59.796875	38.234375	25.125	13.07421875	21.0078125	19.90234375	54.8671875	23.640625
1500009C09Rik	3.283203125	65.3125	39.5625	91.5	73.3125	59.78125	6.70703125	39.96875	80.625	5.1328125	62.375	23.265625	33.09375	10.3828125	56.53125	47.71875	7.65625
1500009L16Rik	86.638671875	147.3125	149.421875	190.53515625	122.265625	178.6875	79.03125	110.171875	154.125	203.6328125	146.4375	96.37109375	119.2890625	162.78125	90.890625	86.75	95.10546875
1500011B03Rik	365.5	638.5	430.25	383.5	622.375	574.875	266.625	434.25	843.5	387.375	334.5	363.75	468.125	343.625	417.25	333.75	655.75
1500011K16Rik	1548.0	1127.0	2622.0	2036.0	2512.0	3082.0	1423.0	1432.0	2228.0	1828.0	1524.0	1371.0	1078.0	1353.0	2128.0	2426.0	2720.0
1500015A07Rik	555.0	677.0	612.0	486.0	641.0	628.0	562.5	535.0	493.0	467.0	610.0	661.0	717.0	615.0	539.5	598.5	666.0
1500015O10Rik	129.39583333333334	116.625	107.15625	49.255208333333336	179.02083333333334	91.44791666666667	33.432291666666664	314.6041666666667	119.67708333333333	59.834635416666664	91.59375	169.46875	236.5625	89.65625	48.381510416666664	58.34375	126.14583333333333
1500017E21Rik	33.84375	35.84375	50.90625	64.9375	28.28125	19.734375	37.65625	27.765625	2.408203125	31.953125	33.40625	21.390625	25.28125	44.375	29.4375	34.0625	11.4921875
1500032P08Rik	3856.0	2702.0	4168.0	3674.0	2454.0	2282.0	6048.0	3008.0	1868.0	3064.0	4876.0	3802.0	2570.0	5968.0	4360.0	4228.0	2384.0
1500035N22Rik	208.0	133.0	198.0	219.625	219.875	199.5	133.125	167.25	161.75	218.125	294.25	135.25	226.125	189.375	118.4375	102.25	205.25
1520401O13Rik	16.2265625	14.75390625	38.46484375	19.5390625	40.859375	8.888671875	42.0166015625	19.12109375	36.8125	18.09375	26.72265625	14.05859375	12.056640625	17.21875	24.05859375	13.640625	23.794921875
1600002H07Rik	459.0	420.75	563.5	702.5	548.5	501.0	452.75	448.75	1167.0	488.25	382.25	337.75	308.25	426.75	469.5	518.0	611.0
1600002K03Rik	140.625	132.0	79.8125	151.875	128.875	206.0	153.125	142.0	26.34375	179.0	160.125	195.5	109.0625	189.125	135.5	161.0	116.1875
