	GSM4795609	GSM4795610	GSM4795611	GSM4795612	GSM4795613	GSM4795614
AFMID	396	246	384	305	301	306
AFP	59	32	47	46	35	31
AFTPH	1470	945	1181	1009	928	1075
AFTPH-DT	17	16	21	18	13	20
AGA	469	253	381	367	277	384
AGA-DT	15	13	10	8	9	8
AGAP1	1540	971	1372	1239	967	1169
AGAP1-IT1	0	0	2	3	1	1
AGAP10P	8	6	3	4	6	4
AGAP11	7	5	12	3	0	0
AGAP12P	4	2	0	0	10	4
AGAP13P	0	0	0	0	0	0
AGAP14P	1	0	2	0	0	4
AGAP2	10	9	6	0	2	17
AGAP2-AS1	200	142	220	137	124	153
AGAP3	1568	1008	1438	1225	1025	1305
AGAP4	466	277	417	297	282	341
AGAP5	93	81	115	59	141	48
AGAP6	678	415	739	411	397	455
AGAP7P	13	11	2	1	0	2
AGAP9	494	294	416	322	267	322
AGBL1	6	0	2	2	2	6
AGBL1-AS1	0	0	0	1	0	1
AGBL2	10	8	6	6	0	11
AGBL3	84	71	60	60	71	68
AGBL4	0	0	0	0	1	1
AGBL4-AS1	0	0	0	0	0	0
AGBL4-IT1	0	0	0	0	0	0
AGBL5	1378	868	1209	1016	855	1047
AGBL5-AS1	0	2	0	0	0	0
AGBL5-IT1	0	1	0	2	0	1
AGER	82	75	88	57	43	67
AGFG1	3071	2062	2739	2154	1935	2299
AGFG2	234	147	216	189	162	190
AGGF1	768	505	617	485	461	519
AGGF1P1	19	17	18	14	6	7
AGGF1P10	1	0	0	0	0	2
AGGF1P2	45	15	29	24	27	19
AGGF1P3	9	3	5	7	5	4
AGGF1P4	0	0	0	0	0	0
AGGF1P5	0	0	0	0	0	0
AGGF1P6	0	0	0	0	0	0
AGGF1P7	0	0	0	0	0	0
AGGF1P8	3	2	0	0	2	0
AGGF1P9	0	0	0	0	0	0
AGK	1783	1105	1614	1281	1147	1304
AGK-DT	3	2	4	7	3	3
AGKP1	0	0	0	0	0	0
AGKP2	0	0	0	0	0	0
AGL	951	537	865	662	647	735
AGMAT	276	186	247	250	220	241
AGMO	0	0	2	4	6	3
AGO1	1494	1000	1206	1145	881	1126
AGO2	4340	2788	3644	3163	2925	3150
AGO3	853	586	745	566	549	561
AGO4	391	223	326	271	266	218
AGPAT1	1498	988	1247	1073	910	1084
AGPAT2	1051	603	924	842	680	910
AGPAT3	1470	854	1416	1099	926	1096
AGPAT4	1312	879	1162	1020	854	954
AGPAT5	1838	1178	1540	1308	1240	1454
AGPAT5P1	0	0	0	0	0	0
AGPS	4188	2838	3736	2941	2842	3157
AGR2	0	0	0	0	1	0
AGR3	0	0	0	0	0	0
AGRN	13475	8015	11328	9642	7264	9448
AGRP	0	1	3	0	1	0
AGT	45	18	27	50	25	37
AGTPBP1	1404	866	1134	875	820	944
AGTR1	0	0	0	0	0	0
AGTR2	0	0	0	0	0	0
AGTRAP	558	377	575	447	339	441
AGXT	0	2	1	0	0	5
AGXT2	15	4	12	10	10	11
AHCTF1	12755	8521	10668	9288	8942	10081
AHCTF1P1	1	1	0	1	1	2
AHCY	9429	5949	8828	7180	5663	7366
AHCYL1	4287	2728	3690	2957	2659	3191
AHCYL2	497	341	482	354	320	359
AHCYP2	0	0	0	1	0	1
AHCYP3	0	0	0	0	0	0
AHCYP4	0	0	0	0	1	0
AHCYP5	2	0	0	0	0	0
AHCYP7	0	0	0	0	0	0
AHCYP8	0	0	0	0	0	0
AHDC1	1035	620	887	826	605	885
AHI1	938	681	875	687	598	593
AHI1-DT	13	21	29	11	15	24
AHNAK	49927	33132	43137	40548	38741	37437
AHNAK2	4095	2629	3434	3224	2549	2862
AHR	1155	833	1094	818	785	956
AHRR	19	7	57	16	17	10
AHSA1	4497	2858	3753	3258	2913	3497
AHSA2P	846	472	715	535	477	545
AHSG	4	2	2	1	3	4
AHSP	0	0	0	0	0	0
AICDA	5	5	9	3	2	4
AIDA	5143	3512	4520	3871	3581	4212
AIDAP1	0	2	0	0	0	0
AIDAP2	13	14	8	6	4	11
AIDAP3	0	0	0	0	0	0
AIF1	0	0	0	1	0	0
AIF1L	4498	2633	3639	3492	2575	3514
AIFM1	2436	1530	2114	1745	1538	1867
AIFM1P1	0	0	0	0	0	0
AIFM2	1235	792	1069	798	702	921
AIFM3	35	16	27	35	14	15
AIG1	868	587	735	603	554	617
AIG1P1	0	0	0	0	0	0
AIM2	15	17	23	14	21	17
AIMP1	2582	1720	2141	1751	1688	1831
AIMP1P1	0	0	0	0	0	0
AIMP1P2	3	1	0	0	3	0
AIMP2	1198	762	1041	950	772	929
